title,slug,category,topics,regions,locations,url,imageurl,description,started,active,Priority to speak to?,Who funded them?,People (* if we have met them)
Life Itself,life-itself,"Community, Spaces","Praxis, Politics, System Change",Europe,"Berlin, Bergerac",https://lifeitself.us,https://lifeitself.us/wp-content/uploads/2020/12/life-itself-logo.svg,,2015,Yes,,,
Alter Ego,alter-ego,Media Platform & Retreat Organisation,"Politics, System Change, Leadership",UK,London,http://alterego.network/,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.18169-9/29694443_163253617723118_6014373808351466630_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=09cbfe&_nc_ohc=IhZQbDRy9Q4AX95ibEd&_nc_ht=scontent-cdt1-1.xx&oh=0a1cbd6242b41d8aa0b29a4739e8cd6b&oe=613EFA6B,"For the past Alter Ego has been gathering new political leaders to find our way out of this crisis moment in history. Our new media series profiles the big ideas that are emerging from the pioneering edge of the political conversation. It’s a beautiful network of leaders who are prototyping a deeper form of change, people who know that we need to change at a psychological and cultural level to have a chance of making it through this crisis moment in history",2016,Yes,"High - won't fund us. Would be good to connect with as fellow thought-leaders, and network-builders.",Lund Foundation,"Ronan Harrington, Richard D. Bartlett"
Larger Us,larger-us,"Research, Events","Psychology, Politics, Society, System Change",,UK,larger.us,https://pbs.twimg.com/profile_images/1085994502165274626/24r1FuZN_400x400.jpg,"We need to see the crises burning around us – accelerating climate change, extreme inequality, hyper polarised politics – for what they are: outward symptoms of our inner worlds. We’re poised between
two futures.

One: a breakdown future of chaos, conflict, and collapse.
The other: a breakthrough future of safety, restoration, and flourishing.
The choice between them starts inside our minds.",2019,Yes,High - have very similar values to LI. Haven't done all that much yet. ,,Alex Evans
Dark Matter Labs,dark-matter-labs,Design,"Design, Infrastructure, Climate",,London & Amsterdam,https://darkmatterlabs.org/,https://cdn-images-1.medium.com/max/1200/1*Ri4JSC8W06dKCPqTtegEsQ.png,"Dark Matter Labs discovers, designs and develops institutional infrastructure to respond to the technological revolution and climate breakdown we face.",2015,Yes,"Maybe - mainly architects / social scientists though. Not going to fund us, but can write about partnering with them. ",,Indy Johar
Dark Mountain,dark-mountain,"Publishing, Writing/Art Project","Art, Collapse, Climate",,UK,https://dark-mountain.net/,https://www.chelseagreen.com/wp-content/uploads/61838-1.jpg,"In 2009, two English writers published a manifesto. Out of that manifesto grew a cultural movement: a rooted and branching network of creative activity, centred on the Dark Mountain journal, sustained by the work of a growing gang of collaborators and contributors, as well as the support of thousands of readers around the world.",2007,Yes,No,,"Charlotte Du Cann,Dougald Hine,Paul Kingsnorth"
Ekskäret,ekskäret,"Research, Events, Retreat Organisation","Personal Development, Education, System Change",,Sweden,http://ekskaret.se/,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQWoib85SKGtGKhyJAzyKAYM3wf6iIkM4Ic09-BLF8wbyp9gUHC,WITH THE AIM TO FACILITATE THE CO-CREATION OF A MORE CONSCIOUS AND SUSTAINABLE SOCIETY,2016,Yes,Medium - attend a conference?,,"Tomas Bjorkman,Caroline Stiernstedt Sahlborn"
Emerge,emerge,"Media Platform, Events, Community","System Change, Complexity, Climate, Spirituality",,"Sweden, UK, Ukraine",https://www.whatisemerging.com/,http://www.whatisemerging.com/assets/Emerge_Logo-dba107a9d19d3cfd0f50dbd96434cb7772f2edb24d9c5452b3283dec4135ebfe.png,"Emerge is an independent, non-profit media platform highlighting the initiatives, individuals and ways of thinking that are sowing the seeds of a new civilisation. Emerge is a hub for people and initiatives searching for solutions to pressing global challenges, asking the question: What new patterns of living, working and existing together are currently emerging?",2018,Yes,Medium - write an article for them / interview? feature on their podcast? attend their gathering in October?,Perspectiva?,"Ivo Mensch, Jonathan Rowson, Anna Katharina Schaffner, Tomas Bjorkman"
Enspiral,enspiral,Network of Networks,"Social Entrepreneurship, Business Community",,NZ HQ,https://enspiral.com,https://pbs.twimg.com/profile_images/2654200277/556dc009a02ce1b7af3993ee4e20fb98.png,"Enspiral started with a vision to support more people to spend their lives working to solve the greatest challenges of our time. A comunity testing ways of working together with trust and respect to share money, information and control as openly as possible. As a community we’ve supported hundreds of people to launch and build all sorts of initiatives, projects and world-changing ventures. an active network of 150+ contributors and friends from New Zealand and around the world, we participate together to support and amplify our individual purpose, and steward the collective to its highest potential impact",2010,Yes,No,,"Rich Bartlett (*), Joshua Vial"
Findhorn Foundation,findhorn-foundation,"Education & Training, Courses, Events, Retreats","Ecology, Climate, Community, Spirituality",,Scotland,https://www.findhorn.org/,https://www.findhorn.org/wp-content/uploads/2018/09/FF-LOGO.png,"An experiment in transforming human consciousness, surrounded by a stunning Scottish landscape of beach, bay and forest.",1962,Yes,No,,"Kathy Tyler, Rachel K Olson "
Metamoderna,metamoderna,Online Platform,"Philosophy, Spirituality, Psychology",,Sweden,https://metamoderna.org/,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSHX9WfYLpgBjm2SB1455FiTN48lS96ZNncxG_nu5BaIizG_2pr,"Metamodernism is the philosophy and view of life that corresponds to the digitalized, postindustrial, global age. This can be contrasted against modern and postmodern philosophies.",2015,Yes,Liam already speaking,Donations,"Daniel Gortz, Emil Ejner Friis"
